"post_id","user_id","content","created_at"
"1","3","Had a great day at the park!","2024-02-09 12:30:45"
"2","1","Just finished reading an amazing book.","2024-02-09 14:15:20"
"3","5","Excited for the weekend trip!","2024-02-08 09:50:10"
"4","2","Working on a new project, can’t wait to share!","2024-02-07 18:05:33"
"5","3","Loving this new coffee place downtown.","2024-02-06 16:45:55"
"6","7","Finally hit my fitness goal this month!","2024-02-06 11:20:40"
"7","8","Learning a new programming language today.","2024-02-05 21:10:15"
"8","1","Movie night with friends!","2024-02-04 19:30:50"
"9","4","Just adopted a puppy, so excited!","2024-02-03 14:05:25"
"10","6","Exploring photography as a new hobby.","2024-02-02 08:55:10"
