destination_id,destination_name,country,continent,description
1,Paris,France,Europe,"The city of love, famous for the Eiffel Tower and Louvre."
2,New York City,USA,North America,A bustling metropolis known for Times Square and Central Park.
3,Agra,India,Asia,"Home to the iconic Taj Mahal, a symbol of love and heritage."
4,Tokyo,Japan,Asia,A futuristic city blending modern tech with ancient traditions.
5,Dubai,UAE,Asia,A luxurious city known for Burj Khalifa and desert safaris.
6,Cape Town,South Africa,Africa,A coastal city with stunning Table Mountain views.
7,Bangkok,Thailand,Asia,A vibrant city famous for street food and the Grand Palace.
8,Santorini,Greece,Europe,A beautiful island with white-washed buildings and blue domes.
9,Rio de Janeiro,Brazil,South America,Known for Christ the Redeemer and Copacabana Beach.
10,Reykjavik,Iceland,Europe,A gateway to the Northern Lights and stunning landscapes.
11,Toronto,Canada,North America,A multicultural city with the iconic CN Tower and beautiful waterfront.
12,Moscow,Russia,Europe,"The capital of Russia, known for Red Square and the Kremlin."
13,Jaipur,India,Asia,"Known as the ""Pink City"", Jaipur is the capital of Rajasthan, India. It is famous for its royal palaces, historic forts, and vibrant markets."
14,Saint Petersburg,Russia,Europe," Often called the ""Cultural Capital of Russia"", this city is famous for the Hermitage Museum, the Winter Palace, and stunning canals."
15,Sochi,Russia,Europe,"A popular Black Sea resort city, Sochi gained international fame after hosting the 2014 Winter Olympics."
