"comment_id","post_id","user_id","content","created_at"
"1","3","1","That sounds like a fun trip!","2024-02-09 16:20:30"
"2","1","5","I love spending time at the park too!","2024-02-09 17:05:45"
"3","2","3","Which book did you read?","2024-02-08 12:15:20"
"4","4","7","Looking forward to your project!","2024-02-08 18:30:55"
"5","5","2","Coffee places are the best for relaxing!","2024-02-07 14:10:40"
"6","6","8","Congrats on hitting your fitness goal!","2024-02-07 20:50:15"
"7","7","4","Which programming language are you learning?","2024-02-06 09:30:25"
"8","8","6","Movie night is always a great idea!","2024-02-05 19:45:10"
"9","9","3","A puppy! That’s amazing, what breed?","2024-02-04 15:20:35"
"10","10","1","Photography is such a rewarding hobby!","2024-02-03 11:10:50"
"11","3","7","Hope you have a fantastic trip!","2024-02-03 14:30:20"
"12","2","8","Reading is the best escape!","2024-02-02 10:15:45"
"13","5","4","What’s your favorite coffee drink?","2024-02-02 12:55:35"
"14","7","5","Good luck with coding!","2024-02-02 14:40:10"
"15","9","2","That puppy must be adorable!","2024-02-02 18:20:05"
