"result_id","check_id","result_description","status","remarks"
"1","1","No criminal record found.","Pass","Cleared for employment."
"2","2","Employment verification pending.","Pending","Waiting for company response."
"3","3","Credit score below required threshold.","Fail","Advised applicant to improve credit score."
"4","4","Minor traffic violations, no major offenses.","Pass","No impact on hiring decision."
"5","5","Employment history not verified yet.","Pending","Follow-up needed with employer."
"6","6","Good credit history, no issues found.","Pass","Meets financial requirements."
"7","7","Criminal record found - Vandalism.","Fail","Further review required by HR."
"8","8","Previous employer confirmed work experience.","Pass","Positive feedback received."
"9","9","Credit check in progress.","Pending","Expected completion within a week."
"10","10","Background check request submitted.","Pending","Awaiting initial report."
